Wall time,Step,Value
1639850384.5515535,480,-46.726749420166016
1639850406.1622837,481,-70.19599914550781
1639850427.5637424,482,-61.826499938964844
1639850449.6539412,483,-56.75475311279297
1639850472.0846937,484,-36.5467529296875
1639850493.6687157,485,-65.15599822998047
1639850515.3506901,486,-74.6717529296875
1639850537.3768065,487,-64.89599609375
1639850559.7953823,488,-32.21299743652344
1639850581.9948893,489,-64.83799743652344
1639850603.2616172,490,-63.03750228881836
1639850624.4659276,491,-82.2135009765625
1639850647.3978405,492,-37.975196838378906
1639850669.1912975,493,-61.69200134277344
1639850691.8904572,494,-60.635498046875
1639850714.291706,495,-36.15279769897461
1639850736.0135925,496,-75.06575012207031
1639850757.90348,497,-56.201499938964844
1639850779.8861,498,-52.29650115966797
1639850801.0684805,499,-64.34525299072266
1639850823.0627697,500,-71.53724670410156
1639850844.5380285,501,-69.83074951171875
1639850866.4976215,502,-65.333251953125
1639850888.0292528,503,-65.25274658203125
1639850909.5788267,504,-68.56175231933594
1639850931.0744715,505,-61.957252502441406
1639850952.7210062,506,-72.25074768066406
1639850974.3424735,507,-75.66099548339844
1639850996.103065,508,-67.4522476196289
1639851018.0447543,509,-71.37649536132812
1639851040.249692,510,-63.9109992980957
1639851061.9383185,511,-52.952247619628906
1639851083.364741,512,-60.64500045776367
1639851105.3487165,513,-67.770751953125
1639851127.8204489,514,-52.644500732421875
1639851150.2740948,515,-55.02625274658203
1639851172.6025982,516,-52.621498107910156
1639851194.5250902,517,-63.41374969482422
1639851216.3311927,518,-63.23624801635742
1639851238.129292,519,-50.260250091552734
1639851260.9152944,520,-60.47725296020508
1639851283.2815592,521,0.1290000081062317
1639851305.5762985,522,-56.982749938964844
1639851327.632542,523,-45.23474884033203
1639851349.783648,524,-35.167999267578125
1639851371.914507,525,-47.012001037597656
1639851393.1802585,526,-70.15499877929688
1639851414.8203773,527,-63.47350311279297
1639851436.679829,528,-55.47050094604492
1639851458.3737912,529,-70.61775207519531
1639851479.6891453,530,-57.303253173828125
1639851501.614761,531,-47.94124984741211
1639851522.9777572,532,-59.13324737548828
1639851544.0316985,533,-72.89300537109375
1639851565.6970918,534,-52.69999694824219
1639851587.4943333,535,-64.53700256347656
1639851609.5113544,536,-38.790748596191406
1639851631.4006586,537,-69.2437515258789
1639851654.1853466,538,-69.42150115966797
1639851676.8517838,539,-65.65450286865234
1639851698.1101148,540,-59.58399963378906
1639851719.7645152,541,-63.72275161743164
1639851741.5657043,542,-61.71075439453125
1639851762.8275077,543,-67.89025115966797
1639851784.0655549,544,-59.51224899291992
1639851806.1884701,545,-30.170202255249023
1639851827.9057171,546,-40.427001953125
1639851849.4149826,547,-55.076499938964844
1639851870.6375897,548,-59.147003173828125
1639851892.2115805,549,-66.22500610351562
1639851913.4487545,550,-66.37025451660156
1639851935.002702,551,-67.02325439453125
1639851956.299749,552,-67.88450622558594
1639851978.0656407,553,-50.26074981689453
1639851999.890814,554,-70.33374786376953
1639852021.40778,555,-63.560752868652344
1639852042.9650145,556,-58.722999572753906
1639852064.2127504,557,-67.65325164794922
1639852085.4600167,558,-74.05624389648438
1639852106.9570496,559,-46.93000030517578
1639852128.495864,560,-55.93025207519531
1639852150.3872573,561,-71.1719970703125
1639852172.0671968,562,-46.03675079345703
1639852194.1562593,563,-62.094749450683594
1639852216.0210211,564,-58.88249969482422
1639852237.3588033,565,-63.41250228881836
1639852259.2087727,566,-72.50899505615234
1639852280.7720914,567,-68.57624816894531
1639852302.6981053,568,-68.02275085449219
1639852324.6650817,569,-75.66975402832031
1639852345.861718,570,-53.79475021362305
1639852367.467091,571,-56.793251037597656
1639852388.667706,572,-78.67900085449219
1639852410.8821077,573,-35.65625
1639852432.493978,574,-26.625499725341797
1639852453.877455,575,-71.27674865722656
1639852475.4885745,576,-28.762001037597656
1639852498.2547736,577,-48.01799774169922
1639852519.8327808,578,-72.34725189208984
1639852541.8822937,579,-56.395751953125
1639852563.3181221,580,-67.13899993896484
1639852584.8552766,581,-53.472747802734375
1639852606.475281,582,-65.48750305175781
1639852628.5235426,583,-61.498497009277344
1639852649.6921692,584,-57.207252502441406
1639852671.4214685,585,-67.92974853515625
